,pmed No.,Optima,opt_time,total_time,Iter_num
0,1.0,5819.000000000002,0.06058001518249512,0.06445503234863281,0.0
1,2.0,4093.0,0.068756103515625,0.06927919387817383,0.0
2,3.0,4250.0,0.09050798416137695,0.09104681015014648,0.0
3,4.0,3034.0,0.03157973289489746,0.03218984603881836,0.0
4,5.0,1355.0,0.027700185775756836,0.02829122543334961,0.0
5,6.0,7824.0,0.3176100254058838,0.31871509552001953,0.0
6,7.0,5631.0,0.11678719520568848,0.11783909797668457,0.0
7,8.0,4445.0,0.07331728935241699,0.07435393333435059,0.0
8,9.0,2734.0,0.06675076484680176,0.06772017478942871,0.0
9,10.0,1255.0,0.05614781379699707,0.05728888511657715,0.0
