,pmed No.,Optima,opt_time,total_time,Iter_num
0,1.0,5819.0,0.09134912490844727,0.16078805923461914,0.0
1,2.0,4093.0,0.1861097812652588,0.2693769931793213,0.0
2,3.0,4250.0,0.1593787670135498,0.2326369285583496,0.0
3,4.0,3034.0,0.06950902938842773,0.14276504516601562,0.0
4,5.0,1355.0,0.05692601203918457,0.13591623306274414,0.0
5,6.0,7824.0,1.061980962753296,1.2405178546905518,0.0
6,7.0,5631.0,0.2508118152618408,0.4115419387817383,0.0
7,8.0,4445.0,0.21473407745361328,0.3971419334411621,0.0
8,9.0,2734.0,0.17932987213134766,0.3576509952545166,0.0
9,10.0,1255.0,0.14942383766174316,0.30207276344299316,0.0
10,11.0,7696.0,1.0788791179656982,1.3151533603668213,0.0
11,12.0,6634.0,1.678002119064331,1.9196898937225342,0.0
12,13.0,4374.0,0.36589908599853516,0.6192750930786133,0.0
13,14.0,2968.0,0.5407040119171143,0.7984921932220459,0.0
14,15.0,1729.0,0.2711811065673828,0.5085561275482178,0.0
15,16.0,8162.0,2.778461217880249,3.0798583030700684,0.0
16,17.0,6999.0,3.660531997680664,3.9584970474243164,0.0
17,18.0,4809.0,0.9132349491119385,1.247729778289795,0.0
18,19.0,2845.0,0.5483119487762451,0.851140022277832,0.0
19,20.0,1789.0,0.4600260257720947,0.7733058929443359,0.0
20,21.0,9138.0,1.1136441230773926,1.469374179840088,0.0
21,22.0,8579.0,7.811743974685669,8.1887788772583,0.0
22,23.0,4619.0,1.0091052055358887,1.4107840061187744,0.0
23,24.0,2961.0,0.8638589382171631,1.2400577068328857,0.0
24,25.0,1828.0,0.7170560359954834,1.0898470878601074,0.0
25,26.0,9917.0,10.64304780960083,11.080904960632324,0.0
26,27.0,8307.0,5.3675150871276855,5.829957008361816,0.0
27,28.0,4498.0,1.484773874282837,1.9289169311523438,0.0
28,29.0,3033.0,1.0524139404296875,1.498415231704712,0.0
29,30.0,1989.0,0.8316009044647217,1.30548095703125,0.0
30,31.0,10086.0,9.32423210144043,9.821053981781006,0.0
31,32.0,9296.999979302544,4.476244926452637,5.023651123046875,0.0
32,33.0,4700.0,2.87638521194458,3.3916983604431152,0.0
33,34.0,3013.0,2.222538709640503,2.744868755340576,0.0
34,35.0,10400.0,74.07925415039062,74.68744421005249,0.0
35,36.0,9934.0,130.1146490573883,130.73032593727112,0.0
36,37.0,5057.0,3.616030216217041,4.279550075531006,0.0
37,38.0,11060.0,131.5546760559082,132.24080204963684,0.0
38,39.0,9423.0,80.52282500267029,81.26050400733948,0.0
39,40.0,5128.0,6.804795980453491,7.53074312210083,0.0
